model        rmse      bias   within 2deg/ 1deg/ 0.5deg 
CCSM4       ,3.16,   1.26,   15,7,6
CCSM4-UoT   ,2.99,   0.29,   16,12,7
CCSM4-Utr   ,3.02,   -0.36,   16,8,5
CESM1.2     ,2.88,   0.11,   14,8,6
CESM2       ,3.17,   -1.01,   12,9,5
COSMOS      ,3.57,   1.35,   15,7,1
EC-Earth3.3 ,3.37,   -1.31,   16,8,4
GISS2.1G    ,3.51,   1.71,   16,6,1
HadCM3      ,3.47,   1.46,   14,6,3
IPSLCM6A    ,2.86,   0.55,   16,9,4
IPSLCM5A2   ,3.25,   1.26,   15,11,2
IPSLCM5A    ,3.04,   1.14,   18,9,3
MIROC4m     ,3.42,   1.12,   14,8,3
MRI2.3      ,3.5,   1.31,   14,6,3
NorESM-L    ,3.25,   1.41,   13,7,2
NorESM1-F   ,3.49,   1.85,   15,5,2
MMM         ,2.97,   0.76,   16,10,6
