model        rmse      bias   within 2deg/ 1deg/ 0.5deg 
CCSM4       ,4.09,   2.07,   21,14,5
CCSM4-UoT   ,3.71,   1.12,   21,17,9
CCSM4-Utr   ,3.87,   0.18,   19,13,6
CESM1.2     ,3.44,   0.94,   22,13,8
CESM2       ,3.44,   -0.18,   16,9,2
COSMOS      ,3.92,   1.99,   20,13,4
EC-Earth3.3 ,3.34,   -0.45,   18,5,1
GISS2.1G    ,4.22,   2.58,   19,9,3
HadCM3      ,4.51,   1.96,   21,13,6
IPSLCM6A    ,3.38,   1.17,   24,15,8
IPSLCM5A2   ,3.99,   1.96,   23,17,7
IPSLCM5A    ,3.83,   1.76,   22,17,6
MIROC4m     ,4.05,   1.95,   20,12,9
MRI2.3      ,4.78,   2.13,   16,10,8
NorESM-L    ,4.12,   2.35,   21,12,5
NorESM1-F   ,4.51,   2.62,   18,10,5
MMM         ,3.72,   1.51,   23,17,10
