pressure,Pliocene temperature,PI temperature
1000.0,27.581395723849653,25.876879324777633
925.0,22.645659115257388,20.76020542369838
850.0,19.02742686042825,16.98253068281997
700.0,10.976323137066004,8.496112019882048
600.0,4.052619980002305,1.642728641930546
500.0,-3.813031226983526,-6.353393125692605
400.0,-14.264618258741393,-17.48255768927504
300.0,-29.927655757023672,-33.81807889843003
250.0,-40.72856897836459,-44.628091798614264
200.0,-52.98267844995627,-56.68887870755185
150.0,-66.57299122616294,-69.72099597355142
100.0,-74.35167898319989,-75.61369814489979
70.0,-69.75303651295548,-70.27807458960592
50.0,-64.21956367453785,-63.86990604185769
30.0,-53.89985988067022,-51.77473673487046
20.0,-50.53451953788692,-48.238694574180414
10.0,-42.026025112960724,-38.86524478289354
